qcfractal_id,mb_wall_time
149,15977.349999999999
150,4733.610000000001
151,16484.57
152,5470.43
153,12457.079999999998
154,14935.05
155,24125.89
156,7356.27
157,17385.52
158,8466.44
159,12376.76
160,9604.61
161,47526.76
162,31880.12
163,47862.17
164,27577.17
165,37219.07
166,37149.270000000004
167,55791.44
168,29118.629999999997
169,54053.14
170,24164.22
171,40339.65
172,44696.11
173,37789.87
174,9008.72
175,31295.93
176,12208.13
177,13015.84
178,14415.54
179,21494.57
180,10262.47
181,6186.25
182,12537.9
183,11199.23
184,6178.8
185,5934.13
189,13935.92
190,15833.85
317,13778.61
318,37886.78
319,20909.96
320,24673.88
321,35966.08
322,16904.67
323,19563.97
324,29773.160000000003
326,30062.87
327,17084.02
328,19492.47
329,24864.04
